------------------------------------------------------------------------------------
Date: 11/4/2024 -- 02:56:56 (uptime: 0d, 00h 00m 15s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
decoder.max_pkt_size                          | Total                     | 1506
tcp.active_sessions                           | Total                     | 15
flow.total                                    | Total                     | 66
flow.active                                   | Total                     | 59
flow.tcp                                      | Total                     | 28
flow.udp                                      | Total                     | 32
flow.icmpv6                                   | Total                     | 6
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
tcp.sessions                                  | Total                     | 15
tcp.ssn_from_pool                             | Total                     | 15
tcp.segment_from_pool                         | Total                     | 180
detect.alert                                  | Total                     | 35
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 14
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 24
app_layer.tx.dns_udp                          | Total                     | 63
app_layer.flow.failed_udp                     | Total                     | 7
flow.end.state.new                            | Total                     | 7
flow.mgr.full_hash_pass                       | Total                     | 5
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9206
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 86
flow.mgr.flows_notimeout                      | Total                     | 79
flow.mgr.flows_timeout                        | Total                     | 7
flow.mgr.flows_evicted                        | Total                     | 7
memcap_pressure                               | Total                     | 8
memcap_pressure_max                           | Total                     | 8
flow.recycler.recycled                        | Total                     | 7
flow.recycler.queue_max                       | Total                     | 1
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1064960
http.memuse                                   | Total                     | 112
flow.memuse                                   | Total                     | 11588608
------------------------------------------------------------------------------------
Date: 11/4/2024 -- 02:57:52 (uptime: 0d, 00h 01m 11s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 1164
decoder.pkts                                  | Total                     | 1174
decoder.bytes                                 | Total                     | 451723
decoder.ipv4                                  | Total                     | 245
decoder.ipv6                                  | Total                     | 925
decoder.ethernet                              | Total                     | 1174
decoder.arp                                   | Total                     | 4
decoder.tcp                                   | Total                     | 1016
tcp.syn                                       | Total                     | 16
tcp.synack                                    | Total                     | 16
tcp.rst                                       | Total                     | 18
decoder.udp                                   | Total                     | 116
decoder.icmpv6                                | Total                     | 37
decoder.avg_pkt_size                          | Total                     | 384
decoder.max_pkt_size                          | Total                     | 1506
tcp.active_sessions                           | Total                     | 16
flow.total                                    | Total                     | 72
flow.active                                   | Total                     | 63
flow.tcp                                      | Total                     | 29
flow.udp                                      | Total                     | 35
flow.icmpv6                                   | Total                     | 8
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 1
tcp.sessions                                  | Total                     | 16
tcp.ssn_from_pool                             | Total                     | 16
tcp.segment_from_pool                         | Total                     | 191
detect.alert                                  | Total                     | 40
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 15
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 27
app_layer.tx.dns_udp                          | Total                     | 77
app_layer.flow.failed_udp                     | Total                     | 7
flow.end.state.new                            | Total                     | 9
flow.mgr.full_hash_pass                       | Total                     | 6
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9209
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 97
flow.mgr.flows_notimeout                      | Total                     | 88
flow.mgr.flows_timeout                        | Total                     | 9
flow.mgr.flows_evicted                        | Total                     | 9
memcap_pressure                               | Total                     | 8
memcap_pressure_max                           | Total                     | 8
flow.recycler.recycled                        | Total                     | 9
flow.recycler.queue_max                       | Total                     | 1
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1064960
http.memuse                                   | Total                     | 112
flow.memuse                                   | Total                     | 11588608
------------------------------------------------------------------------------------
Date: 11/4/2024 -- 02:58:00 (uptime: 0d, 00h 01m 19s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 1323
decoder.pkts                                  | Total                     | 1335
decoder.bytes                                 | Total                     | 544048
decoder.ipv4                                  | Total                     | 309
decoder.ipv6                                  | Total                     | 1022
decoder.ethernet                              | Total                     | 1335
decoder.arp                                   | Total                     | 4
decoder.tcp                                   | Total                     | 1161
tcp.syn                                       | Total                     | 17
tcp.synack                                    | Total                     | 17
tcp.rst                                       | Total                     | 18
decoder.udp                                   | Total                     | 128
decoder.icmpv6                                | Total                     | 41
decoder.avg_pkt_size                          | Total                     | 407
decoder.max_pkt_size                          | Total                     | 1506
tcp.active_sessions                           | Total                     | 16
flow.total                                    | Total                     | 77
flow.active                                   | Total                     | 67
flow.tcp                                      | Total                     | 30
flow.udp                                      | Total                     | 38
flow.icmpv6                                   | Total                     | 9
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 1
flow.wrk.flows_evicted_needs_work             | Total                     | 1
flow.wrk.flows_evicted_pkt_inject             | Total                     | 1
flow.wrk.flows_injected                       | Total                     | 1
tcp.sessions                                  | Total                     | 17
tcp.ssn_from_pool                             | Total                     | 17
tcp.segment_from_pool                         | Total                     | 239
detect.alert                                  | Total                     | 44
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 16
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 30
app_layer.tx.dns_udp                          | Total                     | 85
app_layer.flow.failed_udp                     | Total                     | 7
flow.end.state.new                            | Total                     | 9
flow.end.state.closed                         | Total                     | 1
